# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
1.52            	((-1.389851747e+01 2.606988416e+00 -2.306923986e-16) (6.377870768e+00 4.315116593e-01 1.286564414e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-6.517471041e-01 -3.474629367e+00 6.951704912e+00) (-1.078779148e-01 1.594467692e+00 2.093259607e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.56            	((-1.853763246e+01 2.183296046e+00 -2.465785324e-16) (6.826896639e+00 3.858088225e-01 1.271268084e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-5.458240116e-01 -4.634408115e+00 8.139082504e+00) (-9.645220564e-02 1.706724160e+00 1.781939560e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.6             	((-2.240840028e+01 1.298583357e+00 -2.485383386e-16) (7.017998792e+00 1.972941217e-01 1.216899131e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.246458394e-01 -5.602100070e+00 9.219984068e+00) (-4.932353044e-02 1.754499698e+00 1.558923936e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.64            	((-2.480622330e+01 6.499851315e-01 -2.467195275e-16) (6.995821658e+00 -1.937703622e-02 1.180548755e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.624962829e-01 -6.201555826e+00 9.961127740e+00) (4.844259056e-03 1.748955414e+00 1.441250455e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.68            	((-2.532754169e+01 1.622569556e-01 -2.454409285e-16) (6.871384826e+00 -1.827469000e-01 1.170937751e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.056423889e-02 -6.331885422e+00 1.036373478e+01) (4.568672501e-02 1.717846206e+00 1.388982298e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.72            	((-2.490418254e+01 -1.231520327e-01 -2.464729275e-16) (6.696378052e+00 -2.834614767e-01 1.182398969e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((3.078800817e-02 -6.226045634e+00 1.066074513e+01) (7.086536916e-02 1.674094513e+00 1.372924035e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.76            	((-2.417265878e+01 -2.533463181e-01 -2.496745395e-16) (6.516634810e+00 -3.448913317e-01 1.202425587e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((6.333657952e-02 -6.043164696e+00 1.097934727e+01) (8.622283292e-02 1.629158702e+00 1.371036087e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.8             	((-2.355290542e+01 -2.761835543e-01 -2.545769083e-16) (6.349982470e+00 -3.869191866e-01 1.223337007e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((6.904588858e-02 -5.888226356e+00 1.137995909e+01) (9.672979666e-02 1.587495617e+00 1.372102823e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.84            	((-2.310905431e+01 -2.105058118e-01 -2.606061800e-16) (6.204608743e+00 -4.207210620e-01 1.240886132e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((5.262645294e-02 -5.777263577e+00 1.188238436e+01) (1.051802655e-01 1.551152186e+00 1.374199379e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.88            	((-2.286007578e+01 -1.008150777e-01 -2.673081115e-16) (6.083148419e+00 -4.518699295e-01 1.253914038e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.520376943e-02 -5.715018946e+00 1.249681442e+01) (1.129674824e-01 1.520787105e+00 1.380339425e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
