# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
1.6             	((3.482227849e-01 2.080104941e-03 7.384444062e-20) (1.274550870e-01 2.835365005e-04 -3.550316657e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-5.200262352e-04 8.705569622e-02 -1.206117671e-12) (-7.088412512e-05 3.186377176e-02 1.943261289e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.64            	((3.487863282e-01 2.086308225e-03 7.380300360e-20) (1.268609837e-01 2.880129389e-04 -3.522104898e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-5.215770562e-04 8.719658204e-02 -1.093745537e-12) (-7.200323472e-05 3.171524594e-02 3.864805425e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.68            	((3.491041189e-01 1.949683465e-03 7.364457337e-20) (1.262883833e-01 2.874877607e-04 -3.494881031e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.874208664e-04 8.727602974e-02 -1.145880699e-12) (-7.187194017e-05 3.157209582e-02 7.431659935e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.72            	((3.500607741e-01 1.925283587e-03 7.354705239e-20) (1.257614983e-01 2.838595457e-04 -3.467094446e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.813208968e-04 8.751519354e-02 -1.057083457e-12) (-7.096488642e-05 3.144037457e-02 1.099723554e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.76            	((3.499610282e-01 1.847081485e-03 7.347884105e-20) (1.252466512e-01 2.809619633e-04 -3.440378026e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.617703712e-04 8.749025706e-02 -1.010880832e-12) (-7.024049082e-05 3.131166280e-02 1.452763026e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.8             	((3.500746578e-01 1.825337114e-03 7.340655483e-20) (1.247429386e-01 2.731154810e-04 -3.414198547e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.563342785e-04 8.751866445e-02 -9.548666111e-13) (-6.827887025e-05 3.118573465e-02 1.799097455e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.84            	((3.499194025e-01 1.762658611e-03 7.329034692e-20) (1.242563132e-01 2.724539637e-04 -3.391230705e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.406646527e-04 8.747985063e-02 -9.568162235e-13) (-6.811349092e-05 3.106407829e-02 2.137791039e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.88            	((3.496936814e-01 1.701236755e-03 7.319613360e-20) (1.237832858e-01 2.649370075e-04 -3.368344034e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.253091888e-04 8.742342034e-02 -9.468907863e-13) (-6.623425189e-05 3.094582145e-02 2.466271220e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.92            	((3.494430528e-01 1.700171658e-03 7.313205584e-20) (1.233238367e-01 2.594039163e-04 -3.345881580e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.250429145e-04 8.736076320e-02 -8.888935595e-13) (-6.485097908e-05 3.083095918e-02 2.781628957e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.96            	((3.491190784e-01 1.668148181e-03 7.304977812e-20) (1.228771440e-01 2.532986038e-04 -3.324806716e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.170370453e-04 8.727976959e-02 -8.412576191e-13) (-6.332465095e-05 3.071928599e-02 3.078896744e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2               	((3.488303710e-01 1.730979438e-03 7.297133600e-20) (1.224464586e-01 2.508391002e-04 -3.305345920e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.327448594e-04 8.720759274e-02 -7.876175840e-13) (-6.270977506e-05 3.061161466e-02 3.353933203e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.04            	((3.483749229e-01 1.552264362e-03 7.285923962e-20) (1.220270801e-01 2.472776164e-04 -3.287244375e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.880660906e-04 8.709373071e-02 -7.841377287e-13) (-6.181940409e-05 3.050677002e-02 3.603676305e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.08            	((3.478623864e-01 1.338584279e-03 7.274138799e-20) (1.216192758e-01 2.324003902e-04 -3.270245782e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.346460697e-04 8.696559660e-02 -7.867491381e-13) (-5.810009754e-05 3.040481895e-02 3.828137321e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.12            	((3.472695505e-01 1.518167930e-03 7.273477179e-20) (1.212169904e-01 2.283751832e-04 -3.253924430e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.795419824e-04 8.681738762e-02 -6.972987725e-13) (-5.709379581e-05 3.030424760e-02 4.027359604e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.16            	((3.468077434e-01 1.346462214e-03 7.264677204e-20) (1.208300503e-01 2.237724647e-04 -3.238925968e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.366155535e-04 8.670193585e-02 -6.708997507e-13) (-5.594311617e-05 3.020751258e-02 4.196158043e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.2             	((3.463526218e-01 1.152180814e-03 7.253369897e-20) (1.204538876e-01 2.134884296e-04 -3.224783088e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.880452036e-04 8.658815544e-02 -6.475109077e-13) (-5.337210741e-05 3.011347189e-02 4.335575563e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.24            	((3.456707762e-01 1.298381473e-03 7.240476627e-20) (1.200862782e-01 2.078096270e-04 -3.214046988e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.245953684e-04 8.641769404e-02 -6.567608870e-13) (-5.195240675e-05 3.002156954e-02 4.446217238e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.28            	((3.449890686e-01 1.185355949e-03 7.231177600e-20) (1.197235286e-01 2.043491380e-04 -3.201404308e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.963389873e-04 8.624726714e-02 -6.249111471e-13) (-5.108728450e-05 2.993088214e-02 4.532350572e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.32            	((3.442748979e-01 1.019399991e-03 7.220288615e-20) (1.193672236e-01 1.965903246e-04 -3.189306557e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.548499978e-04 8.606872447e-02 -6.001796282e-13) (-4.914758114e-05 2.984180590e-02 4.594707736e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.36            	((3.434689681e-01 9.272563697e-04 7.209940221e-20) (1.190172250e-01 1.877607845e-04 -3.177803056e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.318140924e-04 8.586724202e-02 -5.807429190e-13) (-4.694019611e-05 2.975430625e-02 4.633899585e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.4             	((3.427507663e-01 8.773170569e-04 7.200133910e-20) (1.186720259e-01 1.805962173e-04 -3.166207922e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.193292642e-04 8.568769156e-02 -5.416919083e-13) (-4.514905432e-05 2.966800647e-02 4.652394842e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.44            	((3.418837318e-01 6.019755016e-04 7.189806017e-20) (1.183314829e-01 1.720334994e-04 -3.155044919e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.504938754e-04 8.547093295e-02 -5.308544403e-13) (-4.300837485e-05 2.958287072e-02 4.651548612e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
